sentence,predicted,transformer,featurizer,correct_label
"Have to remember my stocked fridge is to last my family for weeks, not a challenge for me to finish all in one day ðŸ™„",[0.0],0,0,0.0
"Sins are like viruses, it's better you keep them to yourself",[0.0],0,0,1.0
I like my women the way I like my coffee in a basket being touched by many Colombian men.,[0.0],0,0,0.0
"""Dad, on my way home from school I saw Santa beating a Pakistani man up outside a shop. "" ""Well son, I don't know what to say to you, I'm shocked. "" ""So am I dad, I only posted the letter yesterday""",[0.0],0,0,0.0
Learning to love yourself is important. Just don't let your wife catch you doing it.,[0.0],0,0,0.0
*takes cute picture with child for Instagram *writes inspirational post about being a good parent while ignoring child for 45 mins,[0.0],0,0,0.0
Can someone get me some rohypnol or chloroform? I've got a date tomorrow tonight and she doesn't know yet.,[0.0],0,0,0.0
I drink water throughout the day to stay hydrated and also just in case someone says something shocking so I can spit it out.,[0.0],0,0,1.0
"After a long debate with my wife, I decided that we won't vaccinate our kids We think the doctor would do a way better job than us.",[0.0],0,0,0.0
"Abdul, my neighbour was crying... ""What's wrong?"" I asked. ""We lost our baby daughter, cot death"" he replied. ""Oh dear, that's so sad, never mind Abdul"" I said, ""just think of her as another virgin in paradise for your brave soldiers now""",[0.0],0,0,0.0
